Customer ID,Country,TotalSale,Recence,Frequence,Montant,Nb_Annulations,Total_Commandes,Total_depense
13085.0,United Kingdom,83.4,70,7,1187.08,8.0,92,213.25999999999988
15362.0,United Kingdom,12.600000000000001,98,2,613.08,0.0,40,613.08
16167.0,United Kingdom,54.0,64,6,1149.8700000000001,8.0,71,913.6200000000001
13293.0,United Kingdom,-12.600000000000001,42,7,1180.34,1.0,73,1167.74
13916.0,United Kingdom,-15.299999999999999,113,5,1260.51,1.0,75,1245.21
16329.0,United Kingdom,1.65,77,4,1664.92,0.0,104,1664.92
15461.0,United Kingdom,-25.5,110,3,391.29999999999995,3.0,5,352.9
12533.0,Germany,15.0,268,6,1149.99,18.0,90,932.09
16714.0,United Kingdom,-7.95,309,3,343.18,4.0,114,68.08999999999997
17984.0,United Kingdom,16.95,42,4,999.51,0.0,242,999.51
14748.0,United Kingdom,-4.25,18,12,1360.46,29.0,188,880.3900000000001
14871.0,United Kingdom,1.95,10,6,847.84,0.0,194,847.84
15091.0,United Kingdom,-11.8,121,4,546.15,3.0,60,522.65
17804.0,United Kingdom,12.75,26,4,378.68,1.0,92,373.58
13768.0,United Kingdom,-15.9,213,8,758.07,10.0,43,640.1700000000001
13545.0,United Kingdom,-6.35,40,3,337.64,2.0,56,310.34999999999997
16955.0,United Kingdom,-19.5,10,7,742.49,3.0,53,694.24
15793.0,United Kingdom,76.32000000000001,28,5,1433.96,1.0,31,1417.31
13526.0,United Kingdom,106.56,388,4,942.5999999999999,10.0,54,703.1999999999999
17998.0,United Kingdom,0.65,30,4,601.74,1.0,59,564.24
15326.0,United Kingdom,33.9,246,9,1218.1100000000001,17.0,146,1047.41
14478.0,United Kingdom,7.95,32,4,1276.66,0.0,68,1276.66
16887.0,United Kingdom,8.5,50,2,465.84000000000003,0.0,101,465.84000000000003
14621.0,United Kingdom,-4.25,8,11,1418.21,21.0,180,1295.91
15945.0,United Kingdom,4.95,15,4,646.27,0.0,28,646.27
13711.0,United Kingdom,-13.5,56,13,1380.55,11.0,103,1220.8999999999999
13110.0,United Kingdom,35.400000000000006,87,6,1443.3000000000002,2.0,254,1382.0000000000002
15254.0,United Kingdom,-14.95,196,3,773.04,1.0,68,758.0899999999999
16620.0,United Kingdom,13.5,39,4,1579.97,0.0,94,1579.97
14558.0,United Kingdom,-15.9,302,5,614.1,2.0,17,572.7
13585.0,United Kingdom,12.75,180,4,674.46,1.0,40,664.38
13442.0,United Kingdom,8.5,317,3,419.87,0.0,38,419.87
16763.0,United Kingdom,23.25,388,1,352.85,1.0,45,335.90000000000003
17345.0,United Kingdom,-4.5,25,8,946.64,13.0,222,826.34
13819.0,United Kingdom,25.5,319,4,1490.75,3.0,104,1479.5
13748.0,United Kingdom,39.0,23,5,1320.1,0.0,58,1320.1
14061.0,United Kingdom,19.95,156,3,917.4300000000001,0.0,19,917.4300000000001
14108.0,United Kingdom,66.60000000000001,381,2,447.05,1.0,55,443.3
12842.0,United Kingdom,70.80000000000001,54,2,799.0,0.0,48,799.0
14302.0,United Kingdom,31.8,80,3,742.9000000000001,0.0,28,742.9000000000001
14831.0,United Kingdom,20.0,224,7,1623.97,8.0,90,1571.3700000000001
14000.0,United Kingdom,102.0,64,6,1243.88,3.0,52,1075.13
17193.0,United Kingdom,45.0,35,3,580.14,4.0,48,524.7
15759.0,United Kingdom,17.85,8,8,655.1800000000001,3.0,20,635.23
14894.0,United Kingdom,38.099999999999994,93,4,756.46,3.0,49,675.86
14425.0,United Kingdom,15.299999999999999,77,5,635.89,2.0,41,610.39
17189.0,United Kingdom,4.25,8,4,796.45,0.0,120,796.45
15542.0,United Kingdom,2.55,162,4,833.16,2.0,228,810.61
17476.0,United Kingdom,20.4,42,4,446.51,3.0,34,403.15999999999997
15287.0,United Kingdom,10.2,29,3,369.34000000000003,1.0,37,367.89000000000004
13740.0,United Kingdom,15.8,65,4,1232.02,0.0,94,1232.02
13070.0,United Kingdom,-3.9,109,4,515.1,2.0,35,507.3
17768.0,United Kingdom,10.5,37,5,1205.8799999999999,1.0,183,1200.9299999999998
14467.0,United Kingdom,2.5,39,8,1606.98,0.0,303,1606.98
18108.0,United Kingdom,31.8,246,2,577.8100000000001,2.0,49,571.46
16711.0,United Kingdom,91.80000000000001,7,6,1314.65,2.0,35,1197.65
16233.0,United Kingdom,35.400000000000006,8,10,1282.03,6.0,79,1135.03
14204.0,United Kingdom,3.45,72,3,874.22,0.0,220,874.22
14549.0,United Kingdom,7.5,70,3,624.36,0.0,143,624.36
14396.0,United Kingdom,6.6,21,6,1591.74,0.0,249,1591.74
14122.0,United Kingdom,89.69999999999999,44,5,309.77,3.0,16,257.12
16987.0,United Kingdom,5.1,26,5,892.7,1.0,262,880.8000000000001
15917.0,United Kingdom,1.65,256,4,407.07,0.0,142,407.07
14987.0,United Kingdom,7.95,15,8,1305.85,1.0,16,1224.25
14080.0,United Kingdom,12.75,63,5,1030.13,1.0,84,990.1800000000001
15794.0,United Kingdom,12.600000000000001,386,2,777.0,0.0,15,777.0
18001.0,United Kingdom,21.0,99,4,509.01,0.0,132,509.01
15989.0,United Kingdom,1.95,25,2,368.31,0.0,86,368.31
14771.0,United Kingdom,20.4,255,3,579.92,3.0,50,565.2199999999999
14838.0,United Kingdom,9.9,73,2,769.9200000000001,0.0,70,769.9200000000001
13800.0,United Kingdom,17.700000000000003,80,2,1121.24,0.0,73,1121.24
14915.0,United Kingdom,20.0,25,10,1493.8200000000002,2.0,92,1435.2200000000003
13753.0,United Kingdom,22.799999999999997,248,3,1353.31,0.0,80,1353.31
17209.0,United Kingdom,11.25,299,3,595.7,0.0,38,595.7
15658.0,United Kingdom,13.5,22,6,1311.44,16.0,119,1158.31
17155.0,United Kingdom,17.0,177,5,640.76,0.0,73,640.76
17322.0,United Kingdom,1.95,26,7,900.64,3.0,180,878.6899999999999
16159.0,United Kingdom,35.400000000000006,102,4,882.09,1.0,53,879.59
17411.0,United Kingdom,15.299999999999999,15,6,537.59,8.0,83,428.74
15466.0,United Kingdom,6.95,39,3,1225.93,0.0,262,1225.93
13895.0,United Kingdom,19.8,156,3,1335.5,2.0,188,1250.6
17017.0,United Kingdom,59.699999999999996,10,20,314.5200000000002,25.0,403,-5708.679999999999
13208.0,United Kingdom,1.49,98,3,758.65,1.0,253,740.65
16139.0,United Kingdom,12.600000000000001,372,2,475.74,0.0,57,475.74
14967.0,United Kingdom,204.0,91,6,1216.72,1.0,30,914.6300000000001
17764.0,United Kingdom,5.95,51,3,741.02,0.0,149,741.02
14905.0,United Kingdom,81.6,24,7,1339.79,3.0,81,1308.09
17853.0,United Kingdom,15.0,57,3,1596.29,0.0,105,1596.29
15550.0,United Kingdom,6.6,28,10,1412.22,3.0,238,1189.02
13531.0,United Kingdom,17.700000000000003,16,5,1254.72,0.0,75,1254.72
12937.0,United Kingdom,5.95,113,5,1593.34,0.0,217,1593.34
14958.0,United Kingdom,11.9,245,3,458.26,0.0,71,458.26
17329.0,United Kingdom,2.55,380,3,475.42,0.0,104,475.42
14644.0,United Kingdom,39.0,64,8,1297.01,10.0,72,1126.76
14662.0,United Kingdom,13.0,77,3,635.06,0.0,238,635.06
17414.0,United Kingdom,115.19999999999999,72,4,1471.52,0.0,21,1471.52
14710.0,United Kingdom,0.55,29,9,1300.31,0.0,432,1300.31
17679.0,United Kingdom,30.24,171,9,1174.45,24.0,105,763.4000000000001
17851.0,United Kingdom,4.62,72,6,1552.35,0.0,232,1552.35
14277.0,France,-36.0,61,10,367.4699999999999,86.0,465,-12533.87
17343.0,United Kingdom,0.42,5,6,1259.94,0.0,80,1259.94
17432.0,United Kingdom,2.55,34,7,1363.23,0.0,274,1363.23
12577.0,France,17.0,8,6,1186.3899999999999,1.0,299,1123.9899999999998
13154.0,United Kingdom,10.2,49,4,1609.29,4.0,97,981.88
16961.0,United Kingdom,-2.95,29,5,538.84,3.0,55,517.2900000000001
12525.0,France,-9.95,140,8,835.1800000000001,17.0,77,696.6300000000001
13946.0,United Kingdom,1.25,25,4,1183.8600000000001,1.0,57,1053.0600000000002
14723.0,United Kingdom,6.6,7,8,1136.35,0.0,416,1136.35
13175.0,United Kingdom,27.0,203,4,793.1,5.0,51,754.75
17076.0,United Kingdom,34.8,14,4,553.17,0.0,50,553.17
13948.0,United Kingdom,12.5,10,5,536.86,1.0,25,524.96
16192.0,United Kingdom,30.0,385,1,351.3,0.0,11,351.3
16541.0,United Kingdom,-4.25,385,2,419.78,1.0,39,415.53
15109.0,United Kingdom,25.200000000000003,229,2,498.15000000000003,3.0,51,476.95000000000005
16891.0,United Kingdom,0.06,21,7,1202.77,0.0,418,1202.77
13807.0,United Kingdom,17.700000000000003,17,4,397.3,2.0,27,372.40000000000003
14979.0,United Kingdom,5.9,385,1,429.66,0.0,49,429.66
15309.0,United Kingdom,13.5,260,10,715.53,7.0,61,633.0999999999999
16723.0,United Kingdom,4.25,93,2,654.96,0.0,124,654.96
16699.0,United Kingdom,0.85,30,8,964.9,1.0,63,935.1999999999999
12970.0,United Kingdom,1.95,30,6,1048.13,0.0,345,1048.13
17935.0,United Kingdom,16.5,50,6,509.75,2.0,66,479.15
16451.0,United Kingdom,15.0,210,3,742.4300000000001,1.0,66,738.6800000000001
17127.0,United Kingdom,17.85,78,5,1155.0300000000002,0.0,37,1155.0300000000002
14087.0,United Kingdom,8.95,54,3,608.0,2.0,215,565.25
13733.0,United Kingdom,13.8,60,3,484.53000000000003,1.0,30,482.03000000000003
18181.0,United Kingdom,11.9,49,6,799.76,2.0,180,778.03
17421.0,United Kingdom,39.599999999999994,35,3,1059.41,0.0,58,1059.41
13487.0,United Kingdom,27.0,3,3,464.62,0.0,49,464.62
17018.0,United Kingdom,130.8,37,4,1367.6,0.0,37,1367.6
18071.0,United Kingdom,10.2,15,5,975.63,0.0,72,975.63
16593.0,United Kingdom,39.8,40,6,721.21,2.0,80,701.3100000000001
14238.0,United Kingdom,19.8,312,2,287.38,0.0,13,287.38
15223.0,United Kingdom,102.0,259,3,662.2,12.0,46,361.35
13641.0,United Kingdom,25.200000000000003,290,7,921.82,6.0,50,827.1700000000001
15420.0,United Kingdom,15.0,84,6,743.0,0.0,56,743.0
16158.0,United Kingdom,35.400000000000006,172,10,611.32,1.0,36,594.32
15484.0,United Kingdom,35.400000000000006,189,2,1061.69,1.0,241,1030.49
17642.0,United Kingdom,10.5,79,3,1112.2,0.0,108,1112.2
13813.0,Germany,30.0,171,7,1333.01,10.0,153,1253.96
13589.0,United Kingdom,22.5,99,4,741.09,0.0,52,741.09
17150.0,United Kingdom,1.65,26,6,1357.95,0.0,92,1357.95
17244.0,United Kingdom,26.849999999999998,33,4,871.14,0.0,120,871.14
14133.0,United Kingdom,15.9,383,1,305.5,2.0,38,290.2
15878.0,United Kingdom,2.55,211,2,330.77,0.0,51,330.77
15860.0,United Kingdom,8.5,18,10,1498.8,0.0,343,1498.8
14896.0,United Kingdom,10.4,15,9,1515.75,7.0,260,1417.05
13782.0,United Kingdom,11.9,103,8,869.27,1.0,239,861.3199999999999
14454.0,United Kingdom,10.0,26,6,970.7,1.0,111,964.1
15751.0,United Kingdom,45.0,110,14,1318.84,4.0,134,1257.24
17561.0,United Kingdom,6.75,40,3,537.9,0.0,191,537.9
14479.0,United Kingdom,2.55,15,3,982.86,0.0,139,982.86
15822.0,United Kingdom,-8.5,9,7,1332.64,7.0,72,1270.49
